Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,19030,Dollars per farm,MEAN,380,2.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",141702,Dollars per farm,MEAN,80000,5.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",2657,Dollars per farm,MEAN,0,5.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",9296,Dollars per farm,MEAN,1000,5.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",219483,Dollars per farm,MEAN,114000,3.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",2327,Dollars per farm,MEAN,50,3.4
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",52355,Dollars per farm,MEAN,40448,8.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",26866,Dollars per farm,MEAN,19076,3.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",100433,Dollars per farm,MEAN,84613,12.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,32055,Dollars per farm,MEAN,2200,5.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,16208,Dollars per farm,MEAN,300,14.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,3795,Dollars per farm,MEAN,100,11.5
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,28013,Dollars per farm,MEAN,200,5.6
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,9630,Dollars per farm,MEAN,0,17.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,31432,Dollars per farm,MEAN,750,12.1
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,42413,Dollars per farm,MEAN,158,36.7
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,11048,Dollars per farm,MEAN,784,8.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,11884,Dollars per farm,MEAN,365,4.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",2403,Dollars per farm,MEAN,0,10.0
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",4416,Dollars per farm,MEAN,555,5.3
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",689307,Dollars per farm,MEAN,328500,7.9
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",86289,Dollars per farm,MEAN,67663,12.8
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,101711,Dollars per farm,MEAN,8493,14.2
2015,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",234288,Dollars per farm,MEAN,190000,4.4
