Year,Report_Name,Report_Description,Category,Category_Value,Category_Description,Estimate,Unit,Statistic,Median,RSE
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",All Farms,TOTAL,,4610,Dollars per farm,MEAN,0,2.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Intermediate farms,"Farms with less than $350,000 in gross cash farm income and a principal operator whose primary occupation is farming",3122,Dollars per farm,MEAN,0,5.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Residence farms,"Farms with less than $350,000 in gross cash farm income and the principal operator is either retired or has a primary occupation other than farming",1431,Dollars per farm,MEAN,0,6.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Collapsed Farm Typology,Commercial farms,"Farms with $350,000 or more gross cash farm income as well as nonfamily farms",27759,Dollars per farm,MEAN,11500,3.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$100,000 to $249,999","Farms with total sales equal to or greater than $100,000, up to $249,999.",7537,Dollars per farm,MEAN,1046,7.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$1,000,000 or more","Farms with total sales equal to or greater than $1,000,000",33980,Dollars per farm,MEAN,6500,4.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$250,000 to $499,999","Farms with total sales equal to or greater than $250,000, up to $499,999.",15954,Dollars per farm,MEAN,7700,6.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"Less than $100,000","Farms with total sales up to $100,000.",1291,Dollars per farm,MEAN,0,6.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Economic Class,"$500,000 to $999,999","Farms with total sales equal to or greater than $500,000, up to $999,999.",23937,Dollars per farm,MEAN,12000,5.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Heartland,Heartland region,8750,Dollars per farm,MEAN,1400,3.1
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Eastern Uplands,Eastern Uplands region,689,Dollars per farm,MEAN,0,13.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Basin and Range,Basin and Range region,3141,Dollars per farm,MEAN,0,17.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Fruitful Rim,Fruitful Rim region,2535,Dollars per farm,MEAN,0,11.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Southern Seaboard,Southern Seaboard region,2847,Dollars per farm,MEAN,0,11.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Mississippi Portal,Mississippi Portal region,6032,Dollars per farm,MEAN,0,13.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Great Plains,Northern Great Plains region,15363,Dollars per farm,MEAN,3460,8.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Northern Crescent,Northern Crescent region,2360,Dollars per farm,MEAN,0,5.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Resource Region,Prairie Gateway,Prairie Gateway region,5184,Dollars per farm,MEAN,0,7.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Retirement farms (2011 to present),"Farms where the operator's primary occupation is retired and with gross cash farm income less than $350,000",2194,Dollars per farm,MEAN,0,8.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/moderate-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income from $150,000 to $349,999",8717,Dollars per farm,MEAN,1243,10.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Nonfamily farms (2011 to present),Farms where the majority of the business is not owned by the operator and individuals related to the operator,16018,Dollars per farm,MEAN,960,16.4
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Midsize farms (2011 to present),"Farms with gross cash farm income from $350,000 to $999,999",22488,Dollars per farm,MEAN,12641,4.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Large farms (2011 to present),"Farms with gross cash farm income from $1,000,000 to $4,999,999",44255,Dollars per farm,MEAN,26413,4.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Farming occupation/lower-sales farms (2011 to present),"Farms where the operator's primary occupation is farming and with gross cash farm income less than $150,000",1900,Dollars per farm,MEAN,0,8.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Very large farms (2011 to present),"Farms with gross cash farm income equal to or greater than $5,000,000",36281,Dollars per farm,MEAN,0,15.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Farm Typology,Off-farm occupation farms (2011 to present),"Farms where the operator's primary occupation is something other than farming and with gross cash farm income less than $350,000",1106,Dollars per farm,MEAN,0,8.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Plains region,"Includes Kansas, Nebraska, North Dakota, Oklahoma, South Dakota, and Texas",5890,Dollars per farm,MEAN,0,4.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Atlantic region,"Includes Connecticut, Delaware, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Tennessee, Vermont, Virginia, West Virginia",1334,Dollars per farm,MEAN,0,11.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,South region,"Includes Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, and South Carolina",3535,Dollars per farm,MEAN,0,7.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,Midwest region,"Includes Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, and Wisconsin",6779,Dollars per farm,MEAN,460,2.5
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",NASS Region,West region,"Includes Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, and Wyoming",3757,Dollars per farm,MEAN,0,11.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,45 to 54 years old,Principal operator's age is 45 to 54,4992,Dollars per farm,MEAN,0,8.7
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,65 years or older,Principal operator's age is 65 or older,3613,Dollars per farm,MEAN,0,4.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,35 to 44 years old,Principal operator's age is 35 to 44,5494,Dollars per farm,MEAN,0,8.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,55 to 64 years old,Principal operator's age is 55 to 64,5240,Dollars per farm,MEAN,0,4.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Operator Age,34 years or younger,Principal operator's age is 34 years or younger,4509,Dollars per farm,MEAN,0,14.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Wheat,Farms where wheat is the majority of the value of production,20104,Dollars per farm,MEAN,5000,12.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Corn,Farms where corn is the majority of the value of production,18283,Dollars per farm,MEAN,7122,3.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Soybean,Farms where soybeans is the majority of the value of production,9557,Dollars per farm,MEAN,1000,7.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Other Field Crops,Farms where other field crops is the majority of the value of production,3474,Dollars per farm,MEAN,0,7.8
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Cattle,Farms where cattle is the majority of the value of production,1796,Dollars per farm,MEAN,0,6.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Dairy,Farms where dairy is the majority of the value of production,5796,Dollars per farm,MEAN,0,11.9
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Hogs,Farms where hogs is the majority of the value of production,7919,Dollars per farm,MEAN,0,21.3
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Specialty Crops (F,V,N)","Farms where specialty crops (fruit, vegetables, nursery) are the majority of the value of production",1134,Dollars per farm,MEAN,0,42.2
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,"Tobacco, Cotton, Peanuts","Farms where tobacco, cotton, and peanuts are the majority of the value of production",22578,Dollars per farm,MEAN,5815,17.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,General Cash Grains,Farms where sorghum and rice are the majority of the value of production,21089,Dollars per farm,MEAN,7000,8.6
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,All other livestock,Farms where all other livestock is the majority of the value of production,728,Dollars per farm,MEAN,0,39.0
2016,Farm Business Income Statement,"Contains information on farm revenues, expenses and net income",Production Specialty,Poultry,Farms where poultry is the majority of the value of production,2036,Dollars per farm,MEAN,0,48.9
