Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3102,Nutrient nitrogen N (total),2015,2015,t,9452873
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3102,Nutrient nitrogen N (total),2015,2015,t,5395504.16
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3102,Nutrient nitrogen N (total),2015,2015,t,1274889.09
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2015,2015,t,11829381
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2015,2015,kg/ha,59.39
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3102,Nutrient nitrogen N (total),2015,2015,kg/pc,36.44
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),2015,2015,kg/1000 Int.$,33.68
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3102,Nutrient nitrogen N (total),2016,2016,t,9969020.08
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3102,Nutrient nitrogen N (total),2016,2016,t,4783866.69
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3102,Nutrient nitrogen N (total),2016,2016,t,1544083.14
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2016,2016,t,11644828.99
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2016,2016,kg/ha,58.26
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3102,Nutrient nitrogen N (total),2016,2016,kg/pc,35.59
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),2016,2016,kg/1000 Int.$,30.62
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3102,Nutrient nitrogen N (total),2017,2017,t,11346551.87
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3102,Nutrient nitrogen N (total),2017,2017,t,4320511.37
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3102,Nutrient nitrogen N (total),2017,2017,t,1911065.34
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2017,2017,t,11581692.82
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2017,2017,kg/ha,57.75
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3102,Nutrient nitrogen N (total),2017,2017,kg/pc,35.12
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),2017,2017,kg/1000 Int.$,31.15
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3103,Nutrient phosphate P2O5 (total),2015,2015,t,6346000
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),2015,2015,t,734175.35
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2015,2015,t,2107147.54
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2015,2015,t,3944392
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/ha,24.75
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/pc,12.15
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/1000 Int.$,11.23
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3103,Nutrient phosphate P2O5 (total),2016,2016,t,6698300
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),2016,2016,t,908321.51
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2016,2016,t,2183362.13
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2016,2016,t,3948543.95
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/ha,24.7
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/pc,12.07
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/1000 Int.$,10.38
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3103,Nutrient phosphate P2O5 (total),2017,2017,t,6509200
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3103,Nutrient phosphate P2O5 (total),2017,2017,t,1122151.5
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3103,Nutrient phosphate P2O5 (total),2017,2017,t,2359074.97
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2017,2017,t,4009797.7
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/ha,24.99
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/pc,12.16
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/1000 Int.$,10.79
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3104,Nutrient potash K2O (total),2015,2015,t,617678.74
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3104,Nutrient potash K2O (total),2015,2015,t,6241777.71
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3104,Nutrient potash K2O (total),2015,2015,t,162400.74
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2015,2015,t,4437563
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2015,2015,kg/ha,25.06
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3104,Nutrient potash K2O (total),2015,2015,kg/pc,13.67
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3104,Nutrient potash K2O (total),2015,2015,kg/1000 Int.$,12.64
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3104,Nutrient potash K2O (total),2016,2016,t,465578.74
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3104,Nutrient potash K2O (total),2016,2016,t,5383792.15
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3104,Nutrient potash K2O (total),2016,2016,t,135199.31
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2016,2016,t,4498031.39
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2016,2016,kg/ha,25.32
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3104,Nutrient potash K2O (total),2016,2016,kg/pc,13.75
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3104,Nutrient potash K2O (total),2016,2016,kg/1000 Int.$,11.83
RFN,Fertilizers by Nutrient,231,United States of America,5510,Production,3104,Nutrient potash K2O (total),2017,2017,t,391378.74
RFN,Fertilizers by Nutrient,231,United States of America,5610,Import Quantity,3104,Nutrient potash K2O (total),2017,2017,t,7455209.44
RFN,Fertilizers by Nutrient,231,United States of America,5910,Export Quantity,3104,Nutrient potash K2O (total),2017,2017,t,197673.01
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2017,2017,t,4554114.13
RFN,Fertilizers by Nutrient,231,United States of America,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2017,2017,kg/ha,25.55
RFN,Fertilizers by Nutrient,231,United States of America,5172,Use per capita,3104,Nutrient potash K2O (total),2017,2017,kg/pc,13.81
RFN,Fertilizers by Nutrient,231,United States of America,5173,Use per value of agricultural production,3104,Nutrient potash K2O (total),2017,2017,kg/1000 Int.$,12.25
