Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
RFB,Fertilizers by Product,231,United States of America,5510,Production,4007,"Ammonia, anhydrous",2015,2015,t,3666230.38
RFB,Fertilizers by Product,231,United States of America,5510,Production,4007,"Ammonia, anhydrous",2016,2016,t,3643557.57
RFB,Fertilizers by Product,231,United States of America,5510,Production,4007,"Ammonia, anhydrous",2017,2017,t,4296289.04
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4007,"Ammonia, anhydrous",2015,2015,t,5249999.03
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4007,"Ammonia, anhydrous",2016,2016,t,4667619
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4007,"Ammonia, anhydrous",2017,2017,t,3763441
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4007,"Ammonia, anhydrous",2015,2015,1000 USD,2564505.99
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4007,"Ammonia, anhydrous",2016,2016,1000 USD,1567271.39
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4007,"Ammonia, anhydrous",2017,2017,1000 USD,1174115.84
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4007,"Ammonia, anhydrous",2015,2015,t,163100.66
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4007,"Ammonia, anhydrous",2016,2016,t,119265.3
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4007,"Ammonia, anhydrous",2017,2017,t,607698.8
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4007,"Ammonia, anhydrous",2015,2015,1000 USD,80420.69
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4007,"Ammonia, anhydrous",2016,2016,1000 USD,43600.45
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4007,"Ammonia, anhydrous",2017,2017,1000 USD,163813.32
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4007,"Ammonia, anhydrous",2015,2015,t,3492217.69
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4007,"Ammonia, anhydrous",2016,2016,t,3471832.73
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4007,"Ammonia, anhydrous",2017,2017,t,3453009.07
RFB,Fertilizers by Product,231,United States of America,5510,Production,4003,Ammonium nitrate (AN),2015,2015,t,1330233.42
RFB,Fertilizers by Product,231,United States of America,5510,Production,4003,Ammonium nitrate (AN),2016,2016,t,1165265.12
RFB,Fertilizers by Product,231,United States of America,5510,Production,4003,Ammonium nitrate (AN),2017,2017,t,1361892.81
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4003,Ammonium nitrate (AN),2015,2015,t,493972
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4003,Ammonium nitrate (AN),2016,2016,t,364856
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4003,Ammonium nitrate (AN),2017,2017,t,294947
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4003,Ammonium nitrate (AN),2015,2015,1000 USD,145109.75
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4003,Ammonium nitrate (AN),2016,2016,1000 USD,88615.5
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4003,Ammonium nitrate (AN),2017,2017,1000 USD,67313.23
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4003,Ammonium nitrate (AN),2015,2015,t,339635.52
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4003,Ammonium nitrate (AN),2016,2016,t,216379.67
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4003,Ammonium nitrate (AN),2017,2017,t,228612
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4003,Ammonium nitrate (AN),2015,2015,1000 USD,81438.22
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4003,Ammonium nitrate (AN),2016,2016,1000 USD,52422.18
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4003,Ammonium nitrate (AN),2017,2017,1000 USD,61052.39
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4003,Ammonium nitrate (AN),2015,2015,t,580057.29
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4003,Ammonium nitrate (AN),2016,2016,t,627373.13
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4003,Ammonium nitrate (AN),2017,2017,t,623971.63
RFB,Fertilizers by Product,231,United States of America,5510,Production,4002,Ammonium sulphate,2015,2015,t,3308068.53
RFB,Fertilizers by Product,231,United States of America,5510,Production,4002,Ammonium sulphate,2016,2016,t,3016751.05
RFB,Fertilizers by Product,231,United States of America,5510,Production,4002,Ammonium sulphate,2017,2017,t,2957829.42
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4002,Ammonium sulphate,2015,2015,t,545404
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4002,Ammonium sulphate,2016,2016,t,477203
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4002,Ammonium sulphate,2017,2017,t,425620
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4002,Ammonium sulphate,2015,2015,1000 USD,113425.92
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4002,Ammonium sulphate,2016,2016,1000 USD,98422.16
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4002,Ammonium sulphate,2017,2017,1000 USD,82656.78
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4002,Ammonium sulphate,2015,2015,t,731287.22
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4002,Ammonium sulphate,2016,2016,t,937095.75
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4002,Ammonium sulphate,2017,2017,t,872935.08
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4002,Ammonium sulphate,2015,2015,1000 USD,181705.52
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4002,Ammonium sulphate,2016,2016,1000 USD,188236.35
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4002,Ammonium sulphate,2017,2017,1000 USD,261157.48
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4002,Ammonium sulphate,2015,2015,t,1727807.08
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4002,Ammonium sulphate,2016,2016,t,1682362.9
RFB,Fertilizers by Product,231,United States of America,5157,Agricultural Use,4002,Ammonium sulphate,2017,2017,t,1673241.43
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2015,2015,t,40235
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,2016,t,61251
RFB,Fertilizers by Product,231,United States of America,5610,Import Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,2017,t,43047
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2015,2015,1000 USD,11045.96
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,2016,1000 USD,11344.11
RFB,Fertilizers by Product,231,United States of America,5622,Import Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,2017,1000 USD,8362.59
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2015,2015,t,1215.92
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,2016,t,2740.3
RFB,Fertilizers by Product,231,United States of America,5910,Export Quantity,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,2017,t,2244.5
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2015,2015,1000 USD,1106.79
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2016,2016,1000 USD,1259.38
RFB,Fertilizers by Product,231,United States of America,5922,Export Value,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2017,2017,1000 USD,1574.96
RFB,Fertilizers by Product,231,United States of America,5510,Production,4022,Diammonium phosphate (DAP),2015,2015,t,4315782.45
RFB,Fertilizers by Product,231,United States of America,5510,Production,4022,Diammonium phosphate (DAP),2016,2016,t,3553182.44
RFB,Fertilizers by Product,231,United States of America,5510,Production,4022,Diammonium phosphate (DAP),2017,2017,t,3529512.84
