Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),221,"Almonds, in shell",2015,2015,1000 Int$,7262473
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),221,"Almonds, in shell",2016,2016,1000 Int$,8179814
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),221,"Almonds, in shell",2017,2017,1000 Int$,8680538
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),221,"Almonds, in shell",2015,2015,1000 SLC,9911043
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),221,"Almonds, in shell",2016,2016,1000 SLC,8524273
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),221,"Almonds, in shell",2017,2017,1000 SLC,9576589
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),221,"Almonds, in shell",2015,2015,1000 SLC,10048457
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),221,"Almonds, in shell",2016,2016,1000 SLC,11317701
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),221,"Almonds, in shell",2017,2017,1000 SLC,12010510
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),221,"Almonds, in shell",2015,2015,1000 USD,9911043
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),221,"Almonds, in shell",2016,2016,1000 USD,8524273
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),221,"Almonds, in shell",2017,2017,1000 USD,9576589
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),221,"Almonds, in shell",2015,2015,1000 USD,10048457
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),221,"Almonds, in shell",2016,2016,1000 USD,11317701
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),221,"Almonds, in shell",2017,2017,1000 USD,12010510
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),515,Apples,2015,2015,1000 Int$,2150812
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),515,Apples,2016,2016,1000 Int$,2461035
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),515,Apples,2017,2017,1000 Int$,2473604
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),515,Apples,2015,2015,1000 SLC,3376581
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),515,Apples,2016,2016,1000 SLC,3634186
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),515,Apples,2017,2017,1000 SLC,4702348
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),515,Apples,2015,2015,1000 SLC,3045455
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),515,Apples,2016,2016,1000 SLC,3484717
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),515,Apples,2017,2017,1000 SLC,3502514
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),515,Apples,2015,2015,1000 USD,3376581
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),515,Apples,2016,2016,1000 USD,3634186
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),515,Apples,2017,2017,1000 USD,4702348
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),515,Apples,2015,2015,1000 USD,3045455
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),515,Apples,2016,2016,1000 USD,3484717
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),515,Apples,2017,2017,1000 USD,3502514
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),526,Apricots,2015,2015,1000 Int$,30952
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),526,Apricots,2016,2016,1000 Int$,47595
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),526,Apricots,2017,2017,1000 Int$,33917
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),526,Apricots,2015,2015,1000 SLC,42060
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),526,Apricots,2016,2016,1000 SLC,46953
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),526,Apricots,2017,2017,1000 SLC,44688
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),526,Apricots,2015,2015,1000 SLC,35560
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),526,Apricots,2016,2016,1000 SLC,54682
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),526,Apricots,2017,2017,1000 SLC,38967
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),526,Apricots,2015,2015,1000 USD,42060
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),526,Apricots,2016,2016,1000 USD,46953
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),526,Apricots,2017,2017,1000 USD,44688
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),526,Apricots,2015,2015,1000 USD,35560
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),526,Apricots,2016,2016,1000 USD,54682
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),526,Apricots,2017,2017,1000 USD,38967
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),366,Artichokes,2015,2015,1000 Int$,28865
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),366,Artichokes,2016,2016,1000 Int$,31000
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),366,Artichokes,2017,2017,1000 Int$,29431
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),366,Artichokes,2015,2015,1000 SLC,80615
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),366,Artichokes,2016,2016,1000 SLC,77679
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),366,Artichokes,2017,2017,1000 SLC,65510
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),366,Artichokes,2015,2015,1000 SLC,68609
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),366,Artichokes,2016,2016,1000 SLC,73684
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),366,Artichokes,2017,2017,1000 SLC,69953
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),366,Artichokes,2015,2015,1000 USD,80615
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),366,Artichokes,2016,2016,1000 USD,77679
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),366,Artichokes,2017,2017,1000 USD,65510
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),366,Artichokes,2015,2015,1000 USD,68609
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),366,Artichokes,2016,2016,1000 USD,73684
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),366,Artichokes,2017,2017,1000 USD,69953
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),367,Asparagus,2015,2015,1000 Int$,32522
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),367,Asparagus,2016,2016,1000 Int$,38457
QV,Value of Agricultural Production,231,United States of America,152,Gross Production Value (constant 2014-2016 thousand I$),367,Asparagus,2017,2017,1000 Int$,38833
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),367,Asparagus,2015,2015,1000 SLC,81696
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),367,Asparagus,2016,2016,1000 SLC,91428
QV,Value of Agricultural Production,231,United States of America,56,Gross Production Value (current thousand SLC),367,Asparagus,2017,2017,1000 SLC,111017
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),367,Asparagus,2015,2015,1000 SLC,77894
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),367,Asparagus,2016,2016,1000 SLC,92108
QV,Value of Agricultural Production,231,United States of America,55,Gross Production Value (constant 2014-2016 thousand SLC),367,Asparagus,2017,2017,1000 SLC,93010
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),367,Asparagus,2015,2015,1000 USD,81696
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),367,Asparagus,2016,2016,1000 USD,91428
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),367,Asparagus,2017,2017,1000 USD,111017
QV,Value of Agricultural Production,231,United States of America,58,Gross Production Value (constant 2014-2016 thousand US$),367,Asparagus,2015,2015,1000 USD,77894
