id	description
kount	Estimated number of farms.
kount	Estimated number of farms.
igovtt	Total government payments include direct payments, countercyclical-type payments, marketing loan benefits, conservation payments, and other payments.
kntdp	Estimated number of farms receiving a fixed direct payment.
kount	Estimated number of farms.
kount	Estimated number of farms.
kount	Estimated number of farms.
kount	Estimated number of farms.
kount	Estimated number of farm households.
kount	Estimated number of farm households.
atot	Total assets represents the survey respondents' estimated market value on December 31 of all capital assets owned by the farm operation.  For operations where the operator dwelling is considered part of the farm and located on the farm, the value of the dwelling is included.
vprodtot	Total value of production
kdebt	Number of farms that reported notes payable on December 31.
igovccpt	Countercyclical-type payments are made to producers of eligible crops, based on historical production of program crops, but the payment rates depend on market prices.  The countercyclical payment (CCP) program that began with the 2002 Farm Act ended in 2014, as did the countercyclical Average Crop Revenue Election (ACRE) program. Two new countercyclical-type programs have since been established: the Price Loss Coverage (PLC) program and the Agriculture Risk Coverage (ARC) program.
igcfi	For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
frcrnum	The current ratio, one measure of liquidity, indicates the extent to which the liquidation of current assets would be sufficient to cover current liabilities.  The value of this ratio will vary throughout the production cycle and by type of business.  Greater liquidity is indicated by higher ratio values.
kntccp	Number of farms receiving a countercyclical-type payment that are a function of commodity prices.
kountg	Number of farms receiving government payments.
actot	Current assets are those assets that will be realized in cash, sold or consumed in the production process within one year.
iliv	The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales.
frwcnum	Working capital is calculated by subtracting total current liabilities from total current farm assets. The ratio is calculated as working capital divided by total cash operating expenses.
kountn	Number of farms not receiving government payments.
tacres	Total acres operated
igcfi	For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
igovdpt	Direct payments are payments made to producers based on eligible historical acreage of program crops and historical yields. Between 1996 and 2001, fixed payments were provided as production flexibility contract (PFC) payments before being redesigned in the 2002 Farm Act as direct payments. These direct payments ended as a result of the Agricultural Act of 2014.
kntmlb	Estimated number of farms receiving a marketing loan benefit.
acliv	The market value of livestock and poultry on hand that are owned by the farm operation, excluding animals held for breeding purposes.  Animals that are owned for pleasure are not included.  Livestock or poultry that is owned by the operation, but being raised by another operation under a contract are included.
frdanum	The debt/asset ratio is defined as total liabilities divided by total assets. This ratio indicates the risk associated with the operation's financial structure.
acres	The number of acres owned by the operation plus the number of acres rented from others minus the number of acres rented to others.
drinc	Calculated as net farm income plus interest on capital debt. Indicates the funds available for debt repayment.
kntcnsv	Number of farms receiving a conservation program payment.
icrop	The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included.
conspayt	Conservation program payments are payments made to producers that include land-retirement programs where agricultural production cannot occur on land enrolled in the program as well as working-land programs that provide payments for maintaining or adopting resource conservation practices on land in production.
igovt	Government payments received across all programs, all farms.
accrop	The market value of all crops owned by the operation whether stored on or off the farm. Crops under Commodity Credit Corporation loans are not included; however, crops in storage which have been redeemed from CCC loan are included.
kntoth	Estimated number of farms receiving other types of payments including disaster and emergency payments.
fmhhtot	Farm operator household income as a percentage of the U.S. Census Bureau's measure for all U.S. households (http://www.census.gov/cps/).
igovt	Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.
frroanum	Rate of return on assets is defined as net farm income plus interest expenses minus estimated charges for operator labor and management, divided by total assets.  This ratio reveals the returns received by the farm operator for both debt and equity capital invested.
ten1	The share of farms in the report column that own all of the land operated.
drintp	Reported farm business interest payments and estimated principal payments.
igovtg2	Government payments received across all programs, all program participants.
mlbt	Marketing loan benefits, including Loan Deficiency Program payments, Marketing Loan Gains, and Certificate Exchange Gains, are payments made to farmers based on market prices for eligible commodities falling below program target prices. Marketing assistance loan programs are based on current production and tend to provide payments when market prices fall below target levels.
ten2	The share of farms in the report column that own some of the land operated.
igovdp1	Direct payments received by direct payment program participants.
igovtn1	Government payments received across all programs, all non-participants.
acinpt	The value of unused supplies of purchased inputs such as seed, feed, chemicals, fuels, and fertilizers.
iothfm	Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.
frroenum	Rate of return on equity equals net farm income minus estimated charges for operator labor and management, divided by net worth.  This ratio indicates the relationship between net profits and equity of the farm business.  A negative return on equity is a relative measure of financial stress.  The absolute size of the ratio roughly measures the rate at which a farm business is adding to or consuming from its own capital stock.
drdcm	Calculated as income for debt coverage minus the amount of funds necessary for debt payment of current obligations.
otherpayt	Other government program payments include payments from disaster relief programs and emergency payments. They tend to be temporary, as-needed Government responses to droughts, floods, and other natural disasters. We include various other programs as well, including the milk income support programs, the tobacco transition program, peanut quota buyouts, and/or all other programs not specified in ARMS questionnaires.
acgrow	Represents the amount of sunk costs for cover crops or crops not yet harvested.
etot	Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.
fropmnum	The operating profit margin is the ratio of operating profit to gross farm income, reflecting total funds available to finance the farm's ongoing operation. The numerator, operating profit, is equal to net farm income (gross farm income minus all cash and noncash expenses minus depreciation) plus any interest expenses paid minus estimated charges for all operator and household unpaid labor and management. The denominator of the measure, gross farm income, includes gross cash farm income, annual inventory change, and any nonmoney income.
drmaxpay	Calculated as income for debt coverage divided by the minimum debt coverage ratio.
igcfi	For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
igovccp1	Countercyclical-type payments received by countercyclical-type program participants.
pcepi	The Personal Consumption Expenditures price index is maintained by the Bureau of Economic Analysis (BEA) and measures price change from the perspective of consumers.
ten3	The share of farms in the report column that rent all of the land operated.
acprpins	Outlays for insurance coverage made in the past that are not completely used up.
drmaxd75	The maximum amount of debt that can be repaid given current income. Calculated at 7.5 percent interest rate amortized over a hypothetical repayment term of 7 years.
evtot	Expenses incurred in the production process that vary with the quantity and prices of inputs used.
frdcnum	This ratio is a variant of the term debt and capital lease coverage ratio recommended by the Farm Financial Standards Council. It measures income available for debt coverage relative to required debt service payments. It is defined as net farm income plus depreciation plus interest on term debt divided by annual scheduled principal and interest payments on term debt.
opoc1	The share of farm operators in the report column that reported farming as their primary occupation
igcfig	For farms participating in government programs, gross cash income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
mlb2	Marketing loan benefit payments received by marketing loan program participants.
fratnum	The asset turnover ratio, which is calculated as the farm production value divided by total farm assets, measures the income generated per dollar of assets used in production.
acothr	The value of all stock in Federal Land Banks, Production Credit Associations, Agricultural Credit Associations, and other farm cooperatives; accounts receivable (including Government payments due); hedging account balances; certificates of deposit; checking and savings balances; and any other financial assets of the farm business.
evlvpur	The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.
opoc2	The share of farm operators in the report column that reported something else (other than farming or retired) as their primary occupation
drmaxd10	The maximum amount of debt that can be repaid given current income. Calculated at 10 percent interest rate amortized over a hypothetical repayment term of 7 years.
conspay2	Conservation payments received by conservation program participants.
igcfin	For farms not participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.
antot	Non-current assets are comprised of working assets that support the production process and farm real estate.
froenum	The operating expense ratio equals cash operating expenses divided by gross cash income of the farm business. This ratio measures the extent to which the cash income generated by the business is absorbed by the annual costs of production. The lower the ratio, the more effective the farm operation is in generating returns.
drcnum75	The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 7.5 percent interest rate.
incfi	For all farms, net cash farm income less cash expenses.
evfeed	Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.
opoc3	For most years, this is the share of principal farm operators reporting that they are retired from farming. In 1996, 1998-2001, and 2012 it is the share of farm of principal farm operators retired in general, not just from farming.
otherpay1	Other government program payments received by other payment program participants.
aninvest	Estimated market value of all stock in the Farm Credit System and other farm cooperatives.
evloth	Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.
oped1	The share of farm operators in the report column that did not complete high school
