id,name,sequence,description,unit,report
kount,Farms,10,Estimated number of farms.,Number,Farm Business Balance Sheet
kount,Farms,10,Estimated number of farms.,Number,Farm Business Debt Repayment Capacity
igovtt,All government payments,10,"Total government payments include direct payments, countercyclical-type payments, marketing loan benefits, conservation payments, and other payments.","1,000 Dollars",Government Payments
kntdp,Farms,10,Estimated number of farms receiving a fixed direct payment.,Number,Government Payments
kount,Farms,10,Estimated number of farms.,Number,Government Payments
kount,Farms,10,Estimated number of farms.,Number,Farm Business Income Statement
kount,Farms,10,Estimated number of farms.,Number,Farm Business Financial Ratios
kount,Farms,10,Estimated number of farms.,Number,Structural Characteristics
kount,Farm Households (HH),10,Estimated number of farm households.,Number,Operator Household Income
kount,Farm Households (HH),10,Estimated number of farm households.,Number,Operator Household Balance Sheet
atot,Farm assets,20,"Total assets represents the survey respondents' estimated market value on December 31 of all capital assets owned by the farm operation.  For operations where the operator dwelling is considered part of the farm and located on the farm, the value of the dwelling is included.",Dollars per farm,Farm Business Balance Sheet
vprodtot,Total value of production,20,Total value of production,"1,000 Dollars",Structural Characteristics
kdebt,Number of farms with debt,20,Number of farms that reported notes payable on December 31.,Number,Farm Business Debt Repayment Capacity
igovccpt,Countercyclical-type payments,20,"Countercyclical-type payments are made to producers of eligible crops, based on historical production of program crops, but the payment rates depend on market prices.  The countercyclical payment (CCP) program that began with the 2002 Farm Act ended in 2014, as did the countercyclical Average Crop Revenue Election (ACRE) program. Two new countercyclical-type programs have since been established: the Price Loss Coverage (PLC) program and the Agriculture Risk Coverage (ARC) program.","1,000 Dollars",Government Payments
igcfi,Gross cash farm income,20,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",Dollars per farm,Farm Business Income Statement
frcrnum,Current ratio,20,"The current ratio, one measure of liquidity, indicates the extent to which the liquidation of current assets would be sufficient to cover current liabilities.  The value of this ratio will vary throughout the production cycle and by type of business.  Greater liquidity is indicated by higher ratio values.",Ratio,Farm Business Financial Ratios
kntccp,Farms,20,Number of farms receiving a countercyclical-type payment that are a function of commodity prices.,Number,Government Payments
kountg,Farms,20,Number of farms receiving government payments.,Number,Government Payments
actot,Assets: Current,30,"Current assets are those assets that will be realized in cash, sold or consumed in the production process within one year.",Dollars per farm,Farm Business Balance Sheet
